epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,902.198,1.3967,0.56295,1.03361,0.9617,0.95902,0.97781,0.55491,1.61153,0.66077,1.14544,0.0008614,0.0008614,0.0008614
44,922.249,1.3863,0.56614,1.03521,0.94735,0.95082,0.96413,0.51855,1.71705,0.68288,1.16325,0.0008581,0.0008581,0.0008581
45,942.479,1.43649,0.57134,1.03608,0.94685,0.94922,0.97141,0.52578,1.71266,0.66497,1.13164,0.0008548,0.0008548,0.0008548
46,961.943,1.34485,0.56122,1.05386,0.94897,0.9145,0.96562,0.48946,1.83141,0.69239,1.1647,0.0008515,0.0008515,0.0008515
47,981.461,1.37522,0.5701,1.03815,0.95037,0.95082,0.96231,0.52692,1.66433,0.65035,1.18169,0.0008482,0.0008482,0.0008482
48,1001.51,1.38264,0.55452,1.03183,0.95733,0.95492,0.96368,0.53144,1.6908,0.65275,1.19667,0.0008449,0.0008449,0.0008449
49,1021.28,1.34641,0.5501,1.05514,0.95692,0.95082,0.96614,0.49465,1.78117,0.69684,1.15909,0.0008416,0.0008416,0.0008416
50,1041.07,1.34751,0.54776,1.02618,0.96614,0.96721,0.97765,0.53791,1.67395,0.65865,1.13427,0.0008383,0.0008383,0.0008383
51,1061.2,1.34173,0.54965,1.02688,0.97105,0.96216,0.98123,0.54488,1.70181,0.64738,1.13098,0.000835,0.000835,0.000835
52,1080.95,1.31731,0.53849,1.01121,0.96702,0.96135,0.98162,0.52335,1.76417,0.65494,1.15951,0.0008317,0.0008317,0.0008317
53,1100.53,1.29009,0.5344,1.02096,0.96701,0.95902,0.977,0.52316,1.74616,0.63456,1.17079,0.0008284,0.0008284,0.0008284
54,1120.2,1.28892,0.54129,1.00735,0.96441,0.95492,0.97318,0.54487,1.68798,0.62032,1.15786,0.0008251,0.0008251,0.0008251
55,1140.4,1.3022,0.53414,1.00493,0.96444,0.95902,0.97878,0.49802,1.80546,0.66187,1.15834,0.0008218,0.0008218,0.0008218
56,1160.31,1.30487,0.53238,1.00596,0.9751,0.96297,0.98238,0.54495,1.67171,0.64594,1.14384,0.0008185,0.0008185,0.0008185
57,1180.24,1.3039,0.53335,1.00925,0.9626,0.95082,0.96953,0.52821,1.71639,0.67435,1.17598,0.0008152,0.0008152,0.0008152
58,1199.95,1.35186,0.53732,1.03852,0.94691,0.94672,0.96353,0.49283,1.81638,0.67739,1.19462,0.0008119,0.0008119,0.0008119
59,1219.55,1.30148,0.5218,1.02659,0.96213,0.96721,0.97445,0.54808,1.60336,0.62397,1.16196,0.0008086,0.0008086,0.0008086
60,1239.29,1.29867,0.52322,1.01136,0.9622,0.96311,0.97469,0.54706,1.60148,0.62035,1.15972,0.0008053,0.0008053,0.0008053
